"gcm","scenario","year","dist","q05","q17","q50","q83","q95","mean"
"ALL (uniform GCM prior)","ssp585",2020,"prior",-0.00223408754055284,1.00923534737862,2.80734522614873,5.31499792189399,8.47631914847969,3.22935797602112
"ALL (uniform GCM prior)","ssp585",2020,"posterior",0.746581593493656,1.66269254138778,3.17829469887857,4.96869003998535,6.33611275417112,3.31555793581578
"CESM2-WACCM","ssp126",2025,"prior",-1.60384496917257,-0.232545808469082,1.24727003471928,2.50292548790727,3.4881152919706,1.13282711947453
"CESM2-WACCM","ssp126",2025,"posterior",-0.180207641458258,0.780793995017359,1.91247637046985,3.1171025380773,3.93736112403153,1.90821389572559
"MRI-ESM2-0","ssp126",2025,"prior",1.52756914586502,2.43851807187476,3.90391236801151,5.66723310148054,6.90295383549397,4.03121177166412
"MRI-ESM2-0","ssp126",2025,"posterior",1.95000848548945,2.86427770409114,4.33564614738504,5.9296736330349,7.01690217577194,4.38946325862409
"EC-Earth3-Veg","ssp126",2025,"prior",-0.956476480330906,0.0719827948066364,1.58462920073583,3.42760034748763,4.72870165473258,1.7140422609306
"EC-Earth3-Veg","ssp126",2025,"posterior",-0.0113080293905815,0.981208541635591,2.6326627902732,4.2759782711197,5.29078903355946,2.61691145795635
"MIROC-ES2L","ssp126",2025,"prior",3.86577512606677,5.44819884594358,8.85468655995419,14.5812018582959,17.3250399220623,9.69079943166213
"MIROC-ES2L","ssp126",2025,"posterior",3.97209056902482,5.23063763443578,7.2682571042339,10.1700106835071,12.7051281137894,7.65734340524285
"ALL (uniform GCM prior)","ssp126",2025,"prior",-0.631135103689305,0.752051045619421,3.04949205571614,7.20288622586692,14.0109690539897,4.14222014593286
"ALL (uniform GCM prior)","ssp126",2025,"posterior",0.403954533421417,1.55783190080873,3.62663728780762,6.66740626386417,9.7614337882798,4.14298300438725
"CESM2-WACCM","ssp534-over",2025,"prior",-1.60372081362555,-0.232427995233469,1.24738323620407,2.50307599129666,3.48824390828849,1.13295064055062
"CESM2-WACCM","ssp534-over",2025,"posterior",-0.180087134480621,0.780869679638167,1.91261041941704,3.11724173940921,3.9374864719229,1.90834287085618
"MRI-ESM2-0","ssp534-over",2025,"prior",1.57355072028377,2.48693186319924,3.95745689632432,5.72548293657026,6.9621916026959,4.08514716432873
"MRI-ESM2-0","ssp534-over",2025,"posterior",2.00057711872284,2.91325629462088,4.39153429026085,5.98993000493762,7.08348120074534,4.44435206672539
"EC-Earth3-Veg","ssp534-over",2025,"prior",-0.967585492639363,0.0580947590455376,1.5763205012308,3.42844388849739,4.7376043000206,1.70775966696751
"EC-Earth3-Veg","ssp534-over",2025,"posterior",-0.0253610970987665,0.969531376025226,2.6279512391007,4.28373082211458,5.30053068265758,2.61345376535235
"MIROC-ES2L","ssp534-over",2025,"prior",4.08800097119801,5.67945404052784,9.10035052698807,14.8344479106381,17.5920620105631,9.93169053140746
"MIROC-ES2L","ssp534-over",2025,"posterior",4.19869550406762,5.45423487264832,7.50224615900447,10.4141937865156,12.9621251107545,7.8912315599333
"ALL (uniform GCM prior)","ssp534-over",2025,"prior",-0.633214133047925,0.749105696097964,3.08328369780103,7.37046075066471,14.26295179962,4.2143870008136
"ALL (uniform GCM prior)","ssp534-over",2025,"posterior",0.400890781281862,1.56032649588152,3.65740354256449,6.82829904410132,10.0021232134631,4.21434506571683
"CESM2-WACCM","ssp585",2025,"prior",-1.31325301666187,-0.0320717965230817,1.46273721450295,2.78644016438125,3.77955961868494,1.37242700528894
"CESM2-WACCM","ssp585",2025,"posterior",0.00987529504553305,0.982547521397097,2.13250960067387,3.42817890690654,4.20426452024154,2.1505144704612
"MRI-ESM2-0","ssp585",2025,"prior",1.96532814436596,2.88907263244151,4.45530452052322,6.46003348265876,7.89255923242266,4.63666269975174
"MRI-ESM2-0","ssp585",2025,"posterior",2.39353089724505,3.33763963033588,4.91228540892789,6.76173046325744,8.06033527142171,5.0249523478526
"EC-Earth3-Veg","ssp585",2025,"prior",-1.33722253217088,-0.326323977289041,1.27014977407685,3.28729187464601,4.67031988369898,1.43824695959502
"EC-Earth3-Veg","ssp585",2025,"posterior",-0.435838811329215,0.578757923021799,2.34624812342636,4.18972118872763,5.23891819002969,2.36588361937818
"MIROC-ES2L","ssp585",2025,"prior",3.73297574415325,5.22223538200104,8.15377698976722,13.3609793436756,16.0545183923481,8.97798986407295
"MIROC-ES2L","ssp585",2025,"posterior",3.84524373876318,5.01462673672866,6.79003404774625,9.2542208326897,11.5824757289022,7.13316643479375
"ALL (uniform GCM prior)","ssp585",2025,"prior",-0.724421195572655,0.683372658747289,3.27590914025437,7.26990522459058,12.823620094895,4.10633163217717
"ALL (uniform GCM prior)","ssp585",2025,"posterior",0.297436082927401,1.58674352592126,3.84867230131317,6.74805283429316,9.04356174847195,4.16862921812146
"CESM2-WACCM","ssp126",2030,"prior",-3.01896805677156,-1.14013155150367,0.594518936898946,2.13396571225724,3.35893791280553,0.449715360484006
"CESM2-WACCM","ssp126",2030,"posterior",-1.22161815563857,-0.0490595627526171,1.30891909805466,2.89654442741932,3.88282679435878,1.34842386248803
"MRI-ESM2-0","ssp126",2030,"prior",0.677465563448242,1.9172700741036,3.90332899972625,6.29969022673475,7.96439300129884,4.07109705914533
"MRI-ESM2-0","ssp126",2030,"posterior",1.22606467829692,2.48121063653074,4.47711035167735,6.67071056651557,8.14678157462121,4.54940488199773
"EC-Earth3-Veg","ssp126",2030,"prior",-2.22701219935986,-0.795642738004421,1.51073708174128,4.30310266903463,6.11667458250579,1.69456043926937
"EC-Earth3-Veg","ssp126",2030,"posterior",-0.979469503572539,0.459413263712391,2.98016923586303,5.49273135388603,6.9288622408296,2.96506847273749
"MIROC-ES2L","ssp126",2030,"prior",5.06019990822628,7.20643236905876,11.9799447602069,20.1858382924642,24.0994665162132,13.2138793301773
"MIROC-ES2L","ssp126",2030,"posterior",5.23487699491862,6.90951993553296,9.72329035325653,13.9145283114073,17.5528738243221,10.3260399415495
"ALL (uniform GCM prior)","ssp126",2030,"prior",-1.68833724682392,0.0658410929987321,3.0918431584821,9.26428403291157,19.3383858650764,4.85731304726899
"ALL (uniform GCM prior)","ssp126",2030,"posterior",-0.459020412121139,0.991209756141681,3.89030776318592,8.51318137050511,13.2834628114714,4.79723428969321
"CESM2-WACCM","ssp534-over",2030,"prior",-3.01920897645982,-1.1404122714266,0.594287720305561,2.13376416548963,3.35874108063804,0.449487297593182
"CESM2-WACCM","ssp534-over",2030,"posterior",-1.22188513799878,-0.0492710175392552,1.30868495808268,2.89630084737075,3.88259960835801,1.34820138728335
"MRI-ESM2-0","ssp534-over",2030,"prior",0.763925205858767,2.0047026648398,3.9932046881417,6.39423839390803,8.06563096991845,4.1614329602612
"MRI-ESM2-0","ssp534-over",2030,"posterior",1.31253152715391,2.56765887992822,4.56747808881597,6.76955507950024,8.25155455127636,4.64066096061287
"EC-Earth3-Veg","ssp534-over",2030,"prior",-2.13539619679216,-0.703216963434772,1.60857283934187,4.41587988095836,6.23545141036158,1.79452927994745
"EC-Earth3-Veg","ssp534-over",2030,"posterior",-0.893375945204774,0.552478643002539,3.08058128883634,5.60369730890984,7.0474385301067,3.06760255166309
"MIROC-ES2L","ssp534-over",2030,"prior",5.33645733874852,7.4768495401732,12.2640504419735,20.4843528613808,24.4056627046554,13.5015874905363
"MIROC-ES2L","ssp534-over",2030,"posterior",5.494267058299,7.18057071611705,10.0013816174287,14.2068956279787,17.8500888609888,10.6071154354764
"ALL (uniform GCM prior)","ssp534-over",2030,"prior",-1.64138381570139,0.102940730693771,3.17196958436809,9.49780006159138,19.6398611564603,4.9767592570845
"ALL (uniform GCM prior)","ssp534-over",2030,"posterior",-0.419469605634263,1.02563185276628,3.97894330395959,8.74176668535173,13.5687091093309,4.91589508375899
"CESM2-WACCM","ssp585",2030,"prior",-1.80736293711727,-0.11739301191262,1.56475156594864,3.14240307142996,4.32101103019484,1.45896765174857
"CESM2-WACCM","ssp585",2030,"posterior",-0.186033550435688,0.950950832754828,2.27147023615382,3.87125977264516,4.78318508171304,2.33054859711642
"MRI-ESM2-0","ssp585",2030,"prior",1.67704411531188,2.92124471468613,4.95237146539661,7.59716153871745,9.49334474447278,5.19948560972414
"MRI-ESM2-0","ssp585",2030,"posterior",2.25750321180111,3.49192007629357,5.53930672885933,8.0313883705704,9.70880060356808,5.70411035553859
"EC-Earth3-Veg","ssp585",2030,"prior",-2.28432339404676,-0.921759100800488,1.32002965910331,4.25977357681193,6.10734086945995,1.56037240647088
"EC-Earth3-Veg","ssp585",2030,"posterior",-1.14501326024962,0.229046659073478,2.76348971138594,5.41593699311677,6.87819160908653,2.79618280468437
"MIROC-ES2L","ssp585",2030,"prior",5.30523154657978,7.2342847258756,11.2937531655085,18.9458853137469,22.7517600780707,12.5945696294365
"MIROC-ES2L","ssp585",2030,"posterior",5.42441926134839,6.9592820361082,9.36524093338691,13.0329155006345,16.4277202002935,9.9375535067653
"ALL (uniform GCM prior)","ssp585",2030,"prior",-1.30231630608742,0.573216420853156,3.75537224223077,9.48950125191648,18.1232679154243,5.20334882434501
"ALL (uniform GCM prior)","ssp585",2030,"posterior",-0.043466445668841,1.62180312195842,4.52437743181343,8.81502666827449,12.4847129388428,5.19209881602622
"CESM2-WACCM","ssp126",2035,"prior",-4.56764237399297,-2.1154043660892,-0.0706009713008804,1.83322263032232,3.22896652105506,-0.232229954357452
"CESM2-WACCM","ssp126",2035,"posterior",-2.47167069331373,-1.0543740188989,0.72555946680075,2.64716646944607,3.8043683954073,0.71086040967076
"MRI-ESM2-0","ssp126",2035,"prior",-0.420904732880872,1.12761538945082,3.64527972163356,6.7052590799602,8.82488091722309,3.86403262713479
"MRI-ESM2-0","ssp126",2035,"posterior",0.243451069804973,1.83232452067628,4.35409619679634,7.17278581020136,9.01768308042447,4.46428399915486
"EC-Earth3-Veg","ssp126",2035,"prior",-3.50480451580798,-1.64248854146476,1.63315412117546,5.70974931340235,8.0728874097054,1.91565116244425
"EC-Earth3-Veg","ssp126",2035,"posterior",-1.95860457658355,0.0299215420307662,3.58392721510666,7.19920214714848,9.11449778264098,3.59515963988255
"MIROC-ES2L","ssp126",2035,"prior",6.22089002173536,8.96141900431366,15.2069693735809,25.8934479116352,31.1432266359577,16.8329440731903
"MIROC-ES2L","ssp126",2035,"posterior",6.39068575187564,8.5859845599135,12.2005819883563,17.7776224699412,22.6260349408582,13.0490131026777
"ALL (uniform GCM prior)","ssp126",2035,"prior",-2.82899548858647,-0.660132485384922,3.09698227488013,11.4793561853207,24.8409947875329,5.59509947710297
"ALL (uniform GCM prior)","ssp126",2035,"posterior",-1.45232631864312,0.369671116706273,4.13607338834846,10.4662179540943,16.9813119402166,5.45482928784652
"CESM2-WACCM","ssp534-over",2035,"prior",-4.56823043371051,-2.11606333358561,-0.0712016363301893,1.83258441900045,3.22835066629736,-0.232870591492835
"CESM2-WACCM","ssp534-over",2035,"posterior",-2.47230241040619,-1.05500024451006,0.724897747862564,2.64652813681048,3.80375055536105,0.710223347905752
"MRI-ESM2-0","ssp534-over",2035,"prior",-0.298445142384984,1.24999526695706,3.76926966071711,6.83090539367427,8.95837206599917,3.989040566507
"MRI-ESM2-0","ssp534-over",2035,"posterior",0.363410110206624,1.95463098400136,4.47751121344726,7.30459935192351,9.15247508229044,4.59010775605225
"EC-Earth3-Veg","ssp534-over",2035,"prior",-3.2885778213505,-1.4245721792034,1.85751853763034,5.94466465613079,8.31358240360251,2.14011276161853
"EC-Earth3-Veg","ssp534-over",2035,"posterior",-1.74160047508785,0.24639579571525,3.8094817439545,7.43930157538081,9.35870554559045,3.82213648831344
"MIROC-ES2L","ssp534-over",2035,"prior",6.52594667503436,9.26065004014478,15.5189181429631,26.2186748822643,31.4802463127318,17.1473176729121
"MIROC-ES2L","ssp534-over",2035,"posterior",6.70328299807139,8.89153438063372,12.5173716914807,18.0899622631493,22.9515288303783,13.3579991988624
"ALL (uniform GCM prior)","ssp534-over",2035,"prior",-2.72107300471965,-0.581846803589043,3.22223058224669,11.7764755578864,25.1667114045621,5.76090010238622
"ALL (uniform GCM prior)","ssp534-over",2035,"posterior",-1.38548403782074,0.449266572301831,4.28459428207957,10.7461504037487,17.2940842484028,5.62011669778346
"CESM2-WACCM","ssp585",2035,"prior",-2.86111857161964,-0.748521352303603,1.24816010064314,3.16112723356288,4.50810675721934,1.12510138064382
"CESM2-WACCM","ssp585",2035,"posterior",-1.05849084890485,0.29018839711341,2.00537024606251,3.92268411049707,4.95992857833668,2.01649822485274
"MRI-ESM2-0","ssp585",2035,"prior",0.750719661618838,2.3032017430006,4.83551036297839,8.17464829165739,10.5649189210132,5.15629153110899
