"scenario","year","term","fraction"
"ssp534-over",2040,"Residuals",0.366896672068957
"ssp534-over",2045,"gcm",0.598777297625988
"ssp534-over",2045,"Residuals",0.401222702374012
"ssp534-over",2050,"gcm",0.596188592489486
"ssp534-over",2050,"Residuals",0.403811407510514
"ssp534-over",2055,"gcm",0.569163788571024
"ssp534-over",2055,"Residuals",0.430836211428976
"ssp534-over",2060,"gcm",0.536766469908005
"ssp534-over",2060,"Residuals",0.463233530091995
"ssp534-over",2065,"gcm",0.516560280155258
"ssp534-over",2065,"Residuals",0.483439719844742
"ssp534-over",2070,"gcm",0.493621025913694
"ssp534-over",2070,"Residuals",0.506378974086306
"ssp534-over",2075,"gcm",0.469639539774268
"ssp534-over",2075,"Residuals",0.530360460225732
"ssp534-over",2080,"gcm",0.445044086917432
"ssp534-over",2080,"Residuals",0.554955913082568
"ssp534-over",2085,"gcm",0.43811946272351
"ssp534-over",2085,"Residuals",0.56188053727649
"ssp534-over",2090,"gcm",0.423777370715464
"ssp534-over",2090,"Residuals",0.576222629284536
"ssp534-over",2095,"gcm",0.419863949904315
"ssp534-over",2095,"Residuals",0.580136050095685
"ssp534-over",2100,"gcm",0.403057644174993
"ssp534-over",2100,"Residuals",0.596942355825007
"ssp534-over",2105,"gcm",0.393536212438553
"ssp534-over",2105,"Residuals",0.606463787561447
"ssp534-over",2110,"gcm",0.39335959696075
"ssp534-over",2110,"Residuals",0.60664040303925
"ssp534-over",2115,"gcm",0.386280296919364
"ssp534-over",2115,"Residuals",0.613719703080636
"ssp534-over",2120,"gcm",0.38481161361313
"ssp534-over",2120,"Residuals",0.61518838638687
"ssp534-over",2125,"gcm",0.381777443755742
"ssp534-over",2125,"Residuals",0.618222556244258
"ssp534-over",2130,"gcm",0.378630878389183
"ssp534-over",2130,"Residuals",0.621369121610817
"ssp534-over",2135,"gcm",0.376821305543486
"ssp534-over",2135,"Residuals",0.623178694456514
"ssp534-over",2140,"gcm",0.37240125104873
"ssp534-over",2140,"Residuals",0.62759874895127
"ssp534-over",2145,"gcm",0.371978602156413
"ssp534-over",2145,"Residuals",0.628021397843587
"ssp534-over",2150,"gcm",0.373009266118601
"ssp534-over",2150,"Residuals",0.626990733881399
"ssp534-over",2155,"gcm",0.371251395212746
"ssp534-over",2155,"Residuals",0.628748604787254
"ssp534-over",2160,"gcm",0.368950734794977
"ssp534-over",2160,"Residuals",0.631049265205023
"ssp534-over",2165,"gcm",0.370911937010019
"ssp534-over",2165,"Residuals",0.62908806298998
"ssp534-over",2170,"gcm",0.369566469988995
"ssp534-over",2170,"Residuals",0.630433530011005
"ssp534-over",2175,"gcm",0.371546972910935
"ssp534-over",2175,"Residuals",0.628453027089065
"ssp534-over",2180,"gcm",0.378591239858078
"ssp534-over",2180,"Residuals",0.621408760141922
"ssp534-over",2185,"gcm",0.3773320173507
"ssp534-over",2185,"Residuals",0.6226679826493
"ssp534-over",2190,"gcm",0.378967585955736
"ssp534-over",2190,"Residuals",0.621032414044264
"ssp534-over",2195,"gcm",0.378726932466017
"ssp534-over",2195,"Residuals",0.621273067533983
"ssp534-over",2200,"gcm",0.381318222993704
"ssp534-over",2200,"Residuals",0.618681777006296
"ssp534-over",2205,"gcm",0.382968551436185
"ssp534-over",2205,"Residuals",0.617031448563815
"ssp534-over",2210,"gcm",0.385404926997414
"ssp534-over",2210,"Residuals",0.614595073002586
"ssp534-over",2215,"gcm",0.389343378487657
"ssp534-over",2215,"Residuals",0.610656621512343
"ssp534-over",2220,"gcm",0.387802809865399
"ssp534-over",2220,"Residuals",0.612197190134601
"ssp534-over",2225,"gcm",0.38818867202641
"ssp534-over",2225,"Residuals",0.61181132797359
