"year","term","fraction"
2160,"gcm:scenario",0.0442459755584109
2160,"Residuals",0.501952016653543
2165,"gcm",0.176420460851696
2165,"scenario",0.289719006830084
2165,"gcm:scenario",0.043052502625153
2165,"Residuals",0.490808029693067
2170,"gcm",0.168680434881326
2170,"scenario",0.306961876757526
2170,"gcm:scenario",0.0427291065978849
2170,"Residuals",0.481628581763263
2175,"gcm",0.163191689670795
2175,"scenario",0.323611458725661
2175,"gcm:scenario",0.0415615934516243
2175,"Residuals",0.47163525815192
2180,"gcm",0.158263688995357
2180,"scenario",0.339336489895325
2180,"gcm:scenario",0.0407921057169165
2180,"Residuals",0.461607715392401
2185,"gcm",0.151977933142317
2185,"scenario",0.355104669662288
2185,"gcm:scenario",0.0399129458856785
2185,"Residuals",0.453004451309717
2190,"gcm",0.148217907646465
2190,"scenario",0.36769120675015
2190,"gcm:scenario",0.0393033361205275
2190,"Residuals",0.444787549482857
2195,"gcm",0.143629789656953
2195,"scenario",0.380745394922165
2195,"gcm:scenario",0.0383142731032332
2195,"Residuals",0.437310542317649
2200,"gcm",0.139368770344918
2200,"scenario",0.393999003281351
2200,"gcm:scenario",0.0368121137564473
2200,"Residuals",0.429820112617284
2205,"gcm",0.135721367757191
2205,"scenario",0.40597778030907
2205,"gcm:scenario",0.0354070306883694
2205,"Residuals",0.422893821245369
2210,"gcm",0.132427713979302
2210,"scenario",0.416324847190047
2210,"gcm:scenario",0.034105522488113
2210,"Residuals",0.417141916342537
2215,"gcm",0.129557334384713
2215,"scenario",0.426491049379685
2215,"gcm:scenario",0.0330685229829607
2215,"Residuals",0.410883093252641
2220,"gcm",0.126019775241842
2220,"scenario",0.437822620087966
2220,"gcm:scenario",0.0316951759110855
2220,"Residuals",0.404462428759107
2225,"gcm",0.123670464619102
2225,"scenario",0.446734944111013
2225,"gcm:scenario",0.0308365480455547
2225,"Residuals",0.39875804322433
2230,"gcm",0.121708239769264
2230,"scenario",0.455628310600209
2230,"gcm:scenario",0.0300632539757642
2230,"Residuals",0.392600195654763
2235,"gcm",0.120446164039495
2235,"scenario",0.463376701708096
2235,"gcm:scenario",0.0293975974826105
2235,"Residuals",0.386779536769799
2240,"gcm",0.119027651833829
2240,"scenario",0.471034943371976
2240,"gcm:scenario",0.0287486679289303
2240,"Residuals",0.381188736865265
2245,"gcm",0.117858691581829
2245,"scenario",0.477678957000311
2245,"gcm:scenario",0.0286453018635635
2245,"Residuals",0.375817049554297
2250,"gcm",0.116423121141975
2250,"scenario",0.482674906434354
2250,"gcm:scenario",0.0283754322875293
2250,"Residuals",0.372526540136142
2255,"gcm",0.115200847731966
2255,"scenario",0.488712259467215
2255,"gcm:scenario",0.028002115816191
2255,"Residuals",0.368084776984629
2260,"gcm",0.114262809407359
2260,"scenario",0.494276937834836
2260,"gcm:scenario",0.0276950523541211
2260,"Residuals",0.363765200403684
2265,"gcm",0.113202035984523
2265,"scenario",0.499559928070886
2265,"gcm:scenario",0.0272058247614752
2265,"Residuals",0.360032211183116
2270,"gcm",0.112181402894791
2270,"scenario",0.504666938072725
2270,"gcm:scenario",0.0267336760143041
2270,"Residuals",0.35641798301818
2275,"gcm",0.111757874710755
2275,"scenario",0.509027832915906
2275,"gcm:scenario",0.0265997974362243
2275,"Residuals",0.352614494937115
2280,"gcm",0.111584736175819
2280,"scenario",0.511899827876042
2280,"gcm:scenario",0.0267111440869834
2280,"Residuals",0.349804291861155
2285,"gcm",0.110995523426255
2285,"scenario",0.514810426253604
2285,"gcm:scenario",0.0266634547238865
2285,"Residuals",0.347530595596254
2290,"gcm",0.111004641392712
2290,"scenario",0.517311139654206
2290,"gcm:scenario",0.0268725107713399
2290,"Residuals",0.344811708181742
2295,"gcm",0.110258563268176
2295,"scenario",0.521161665359717
2295,"gcm:scenario",0.0267737161707152
2295,"Residuals",0.341806055201391
2300,"gcm",0.109557598242231
2300,"scenario",0.523286538891658
2300,"gcm:scenario",0.0269332206049814
2300,"Residuals",0.340222642261129
