"axis","value","gcm","scenario","year","ess","q05","q17","q50","q83","q95","mean"
"sigma_mod_mult","1","CESM2-WACCM","ssp126",2100,4732.25478248916,-29.8566512665035,-20.7128833364412,-5.36326666810813,29.0544275084496,59.9593572984954,2.70592217161902
"sigma_mod_mult","1","MRI-ESM2-0","ssp126",2100,8231.10098622847,-31.3124443580231,-23.5273214766723,-12.0615066866609,2.36709801343558,16.0178998993848,-10.5914067179615
"sigma_mod_mult","1","EC-Earth3-Veg","ssp126",2100,4540.01369391136,-0.693162585290597,17.3930142371307,57.247217220983,92.6443954680695,115.773670254104,56.7011159092595
"sigma_mod_mult","1","MIROC-ES2L","ssp126",2100,6193.77626736542,19.6118738450321,31.1038755801588,46.9617640808959,71.2765479485862,93.099905647482,50.878491228854
"sigma_mod_mult","1","ALL (uniform GCM prior)","ssp126",2100,NA,-26.3411040354392,-15.6821509670056,20.7966006575868,65.6386837312779,95.7759656088859,24.9235306479426
"sigma_mod_mult","1","CESM2-WACCM","ssp534-over",2100,4732.25478248916,-29.8662231499885,-20.7226919402112,-5.37765102447179,29.0418422640612,59.9451648056699,2.69484119193719
"sigma_mod_mult","1","MRI-ESM2-0","ssp534-over",2100,8231.10098622847,-29.5535246500957,-21.6397440034243,-10.0396027427404,4.66169259514306,18.5387545744188,-8.53577870058257
"sigma_mod_mult","1","EC-Earth3-Veg","ssp534-over",2100,4540.01369391136,3.22549786808012,21.7107449002636,62.3910506326919,98.3602773342,121.878144770838,61.745962257961
"sigma_mod_mult","1","MIROC-ES2L","ssp534-over",2100,6193.77626736542,24.5546893638228,36.2750755287147,52.5144907617309,77.3320626640724,99.5638671439412,56.4491913803617
"sigma_mod_mult","1","ALL (uniform GCM prior)","ssp534-over",2100,NA,-25.2154651408717,-14.5214075480619,23.7261897319058,70.8179609505516,101.382568089287,28.0885540324192
"sigma_mod_mult","1","CESM2-WACCM","ssp585",2100,4732.25478248916,-48.5200736542297,-37.3029859681091,-14.2598612325286,34.7277542103864,77.5249915057,-2.76064408809545
"sigma_mod_mult","1","MRI-ESM2-0","ssp585",2100,8231.10098622847,-45.2344739263498,-33.0555160886664,-3.15955669015791,34.2880782163532,64.7319014836784,0.762722288257419
"sigma_mod_mult","1","EC-Earth3-Veg","ssp585",2100,4540.01369391136,-3.92984636455003,23.7437953243547,84.6353858680673,140.565972713005,180.461123681021,84.843528732201
"sigma_mod_mult","1","MIROC-ES2L","ssp585",2100,6193.77626736542,42.0296194693528,57.620143984509,85.4136123771084,126.879021232567,163.354825394316,92.0193334006097
"sigma_mod_mult","1","ALL (uniform GCM prior)","ssp585",2100,NA,-41.0964101286973,-23.4120216084927,39.9974559030468,106.985429260575,152.172191727546,43.7162350832426
"sigma_mod_mult","1","CESM2-WACCM","ssp126",2300,4732.25478248916,-79.7314249281937,-18.8145470731644,82.1451912461556,253.322423990381,417.056931066923,115.622926618566
"sigma_mod_mult","1","MRI-ESM2-0","ssp126",2300,8231.10098622847,-192.40310344911,-148.127212538431,-71.728674674301,48.0257305493934,165.013372174709,-51.0637890257922
"sigma_mod_mult","1","EC-Earth3-Veg","ssp126",2300,4540.01369391136,18.4732933354576,99.9502266176605,287.923007087153,479.729473442012,613.545737409311,294.750696192329
"sigma_mod_mult","1","MIROC-ES2L","ssp126",2300,6193.77626736542,8.53179410368395,47.820313169104,101.892031855683,164.384877382841,214.726693993811,105.870547720111
"sigma_mod_mult","1","ALL (uniform GCM prior)","ssp126",2300,NA,-142.340545339161,-52.4584469173166,91.1280147352104,277.264826777629,479.156842059075,116.295095376303
"sigma_mod_mult","1","CESM2-WACCM","ssp534-over",2300,4732.25478248916,-79.8977285976035,-18.9876548887162,81.951830205114,253.111088418337,416.819454323266,115.418355715653
"sigma_mod_mult","1","MRI-ESM2-0","ssp534-over",2300,8231.10098622847,-171.223765650817,-127.371352888377,-49.026173685272,76.0292402089432,196.592272357879,-26.9582388785926
"sigma_mod_mult","1","EC-Earth3-Veg","ssp534-over",2300,4540.01369391136,77.5481281079366,162.359007348655,357.48294280237,554.286866070102,695.718132407919,364.500467661327
"sigma_mod_mult","1","MIROC-ES2L","ssp534-over",2300,6193.77626736542,44.5086473659399,85.1651667142776,141.59859342905,207.810393251618,262.152572157768,146.775861137823
"sigma_mod_mult","1","ALL (uniform GCM prior)","ssp534-over",2300,NA,-122.629689679829,-36.2211418825575,124.709056224779,324.608150928537,545.288386801789,149.934111409051
"sigma_mod_mult","1","CESM2-WACCM","ssp585",2300,4732.25478248916,325.119544766889,480.439231075032,789.12870896098,1225.61055886698,1630.43578846104,857.04379681016
"sigma_mod_mult","1","MRI-ESM2-0","ssp585",2300,8231.10098622847,-43.4394575617938,146.335602246354,577.758750985994,1128.35377716349,1548.79039045566,636.848388615956
"sigma_mod_mult","1","EC-Earth3-Veg","ssp585",2300,4540.01369391136,386.838328408593,612.15075085324,1057.95532188628,1670.67231633782,2170.32828510334,1137.61162245698
"sigma_mod_mult","1","MIROC-ES2L","ssp585",2300,6193.77626736542,587.502063438245,774.484973898527,1104.55627518581,1530.56717825496,1858.23151725505,1150.67224133999
"sigma_mod_mult","1","ALL (uniform GCM prior)","ssp585",2300,NA,173.476468930089,471.592415191688,904.164022510282,1421.25160338511,1851.39150729424,945.544012305774
"sigma_mod_mult","1.5","CESM2-WACCM","ssp126",2100,6461.56567473506,-30.5627682125813,-20.5970782441755,-2.43924489824702,38.3740506484034,72.0363420056274,6.94460186453235
"sigma_mod_mult","1.5","MRI-ESM2-0","ssp126",2100,8991.80081890406,-32.9407464108605,-25.160223125052,-13.3327939058859,1.08753519622921,15.1597959580936,-11.8859621266183
"sigma_mod_mult","1.5","EC-Earth3-Veg","ssp126",2100,6328.52809456959,-4.1036411337504,11.9533360063884,51.6051575538457,90.8353922814452,116.356613313445,52.4643204614303
"sigma_mod_mult","1.5","MIROC-ES2L","ssp126",2100,6896.1421365335,18.7559001146902,31.0496353183314,48.2857986207693,76.1509358819304,101.415802414306,53.0252332161008
"sigma_mod_mult","1.5","ALL (uniform GCM prior)","ssp126",2100,NA,-27.3913370871978,-16.2757262057032,20.7455940844219,66.4963785699458,98.0038441049721,25.1370483538616
"sigma_mod_mult","1.5","CESM2-WACCM","ssp534-over",2100,6461.56567473506,-30.5717370286492,-20.6070647214922,-2.45035839007979,38.3605936340334,72.0210950359862,6.9332335116452
"sigma_mod_mult","1.5","MRI-ESM2-0","ssp534-over",2100,8991.80081890406,-31.1554086907147,-23.2825048017981,-11.366765830848,3.41283838494429,17.6411003863805,-9.85261095594442
