"scenario","year","input","S","T"
"ssp126",2225,"forcing",0.484933660157025,0.523408323442403
"ssp126",2230,"aPhi",0.0175641934186175,0.0343292350231813
"ssp126",2230,"n",0.0183249738877463,0.0393458279804624
"ssp126",2230,"m",0.0058852623291262,0.0238329751136301
"ssp126",2230,"uf",-0.00284666477364711,0.0075952002801718
"ssp126",2230,"gamma",0.39529843194352,0.442228054689597
"ssp126",2230,"UMV",-0.00814178823638052,0.00210669555570686
"ssp126",2230,"forcing",0.476223722114874,0.514942234416816
"ssp126",2235,"aPhi",0.0180396767767349,0.0347089364099601
"ssp126",2235,"n",0.0189084418619003,0.0399641253373131
"ssp126",2235,"m",0.00665106184009791,0.0246440295036939
"ssp126",2235,"uf",-0.00242849768509111,0.00792625841107875
"ssp126",2235,"gamma",0.401490727324247,0.448800690577797
"ssp126",2235,"UMV",-0.00801663207487561,0.00224254422772774
"ssp126",2235,"forcing",0.46794890689801,0.506839497762586
"ssp126",2240,"aPhi",0.0185013135756401,0.0350943958885603
"ssp126",2240,"n",0.0195012069333356,0.0406070021055005
"ssp126",2240,"m",0.00742382666799938,0.0254830389018462
"ssp126",2240,"uf",-0.0020010844036312,0.00827612799791355
"ssp126",2240,"gamma",0.407482420940274,0.455222844071989
"ssp126",2240,"UMV",-0.00789725721578078,0.00239364194004532
"ssp126",2240,"forcing",0.459763006996461,0.498904555538892
"ssp126",2245,"aPhi",0.0189905312046129,0.0355074741555765
"ssp126",2245,"n",0.0201235795481463,0.0412695024676013
"ssp126",2245,"m",0.00820519878597611,0.0263116763410725
"ssp126",2245,"uf",-0.00155745909518496,0.0086230543329594
"ssp126",2245,"gamma",0.413417450565702,0.461582273428232
"ssp126",2245,"UMV",-0.00776208480436976,0.00254788481858359
"ssp126",2245,"forcing",0.451631646031823,0.491022321022681
"ssp126",2250,"aPhi",0.0193545847831118,0.035840513554727
"ssp126",2250,"n",0.0205239974556707,0.0416871422766883
"ssp126",2250,"m",0.00873967797403326,0.0268841952311949
"ssp126",2250,"uf",-0.00120954346957366,0.00890212340105601
"ssp126",2250,"gamma",0.417576460617478,0.466114744771716
"ssp126",2250,"UMV",-0.00766416476891288,0.00268602190778267
"ssp126",2250,"forcing",0.445828637108685,0.485546431311187
"ssp126",2255,"aPhi",0.019795529976299,0.0362621325191185
"ssp126",2255,"n",0.0210121188853549,0.042217535662371
"ssp126",2255,"m",0.00941679578863694,0.0276232204147323
"ssp126",2255,"uf",-0.000783479180149523,0.0092535797859904
"ssp126",2255,"gamma",0.422756385184496,0.471750076842324
"ssp126",2255,"UMV",-0.00754398653627042,0.00285917352036391
"ssp126",2255,"forcing",0.438579003479454,0.47867676412342
"ssp126",2260,"aPhi",0.020307514663049,0.036758974190266
"ssp126",2260,"n",0.021531423505273,0.0427879891405065
"ssp126",2260,"m",0.0102017208232526,0.0284665800264413
"ssp126",2260,"uf",-0.000307553716602829,0.00964264812596882
"ssp126",2260,"gamma",0.428890882178274,0.478330837019767
"ssp126",2260,"UMV",-0.00739697916112572,0.00304391327825493
"ssp126",2260,"forcing",0.430189354300142,0.470599958621894
"ssp126",2265,"aPhi",0.0208000658054161,0.0372478251739576
"ssp126",2265,"n",0.0221780664873181,0.0435308448779402
"ssp126",2265,"m",0.0110420999950531,0.0293973491510124
"ssp126",2265,"uf",0.000165376271219436,0.0100346826180115
"ssp126",2265,"gamma",0.434702881013944,0.484624029608578
"ssp126",2265,"UMV",-0.00725389965728755,0.00323231235046362
"ssp126",2265,"forcing",0.42191268047955,0.462641252145627
"ssp126",2270,"aPhi",0.0213225591419406,0.0377789426987875
"ssp126",2270,"n",0.0227333660630278,0.0441487615502143
"ssp126",2270,"m",0.0118313934491163,0.0302403771057379
"ssp126",2270,"uf",0.000646411125942453,0.0104182670137927
